,Link,Start time,End time,Nội dung,Label,gender,label,Người làm,count,Target
1,https://www.youtube.com/watch?v=sDy07cIYrdg,00:00,00:53,Sự quan trọng của tiếng Anh,lecture,male,lecture,Hoàng,30,50
2,https://www.youtube.com/watch?v=J4RqCSD--Dg,00:00,00:54,Artificial Inteligence là gì,lecture,male,speech,Khả,50,50
3,https://www.youtube.com/watch?v=QusJ4fpWQwA,00:00,00:46,Marketing là gì?,lecture,male,podcast,Nam,50,50
4,https://www.youtube.com/watch?v=JgvyzIkgxF0,01:03,01:53,Robotic and challenge,lecture,male,,,,
5,https://www.youtube.com/watch?v=2pWv7GOvuf0,00:01,00:55,Reinforcement Learning Short Introduction,lecture,male,,,,
6,https://www.youtube.com/watch?v=FgzM3zpZ55o,01:19,02:28,Reinforcement Learning Introduction,lecture,female,,,,
7,https://www.youtube.com/watch?v=DH1dm-zb1wQ,00:04,01:17,Fintech là gì?,lecture,male,,,,
8,https://www.youtube.com/watch?v=mLvizyDFLQ4,00:02,00:51,Cách tạo ra biểu đồ cause-and-effect ,lecture,male,,,,
9,https://www.youtube.com/watch?v=AxZgirslL2I,01:04,02:09,A People-First Strategy for Digital Transformation,lecture,male,,,,
10,https://www.youtube.com/watch?v=BDqvzFY72mg,00:37,01:43,Quyền lực và Chính trị trong Thế giới Ngày nay,lecture,male,,,,
11,https://www.youtube.com/watch?v=y68RJVfGoto,02:24,03:23,Language Model,lecture,female,,,,
12,https://www.youtube.com/watch?v=wHUS5T6uYT4,03:08,03:35,What is Social Ecology,lecture,male,,label,count,
13,https://www.youtube.com/watch?v=oqNOD2tF9Ec,00:00,01:02,University English: Expressions and Vocabulary,lecture,female,,lecture,30,
14,https://www.youtube.com/watch?v=mgty3Bgu-YY,00:24,00:57,English Words for Everyday Life,lecture,female,,speech,50,
15,https://www.youtube.com/watch?v=KHtzeslkOVU,03:31,04:04,What is mental health,lecture,female,,podcast,50,
16,https://www.youtube.com/watch?v=KlVHqq38KJU,07:27,08:03,Motivation of biology,lecture,female,,gender,count,
17,https://www.youtube.com/watch?v=69dLyztc-As,00:37,01:29,The Basics of Business Education,lecture,male,,male,56,
18,https://www.youtube.com/watch?v=4YY4CTSQ8nY,04:29,05:30,Theory of Iiterature,lecture,male,,female,74,
19,https://www.youtube.com/watch?v=QIpoSmvsyJA,01:25,01:56,How to be unforgettable,lecture,female,,,,
20,https://www.youtube.com/watch?v=YkYeYhXUeEE,07:38,08:08,What is Chemistry Research,lecture,female,,,,
21,https://www.youtube.com/watch?v=Y9LBUf1NzU0,00:24,01:15,How To Improve Your LISTENING SKILLS,lecture,male,,,,
22,https://www.youtube.com/watch?v=nzmFc2gjUo4,05:38,07:06,Introduction of astronomy,lecture,male,,,,
23,https://www.youtube.com/watch?v=b_lgH_ZnCmg,08:58,09:24,Lung cancer,lecture,male,,,,
24,https://www.youtube.com/watch?v=vg01Q1BI4WM,00:12,01:01,An idea about our brain,lecture,male,,,,
25,https://www.youtube.com/watch?v=oOya3cFmAMc,00:35,01:21,Lipids (biochemistry),lecture,female,,,,
26,https://www.youtube.com/watch?v=ukT8YrZ_kM8,00:00,00:48,introduction about microbology,lecture,male,,,,
27,https://www.youtube.com/watch?v=_OkTw766oCs,02:47,03:23,What is microeconomics,lecture,male,,,,
28,https://www.youtube.com/watch?v=6AS48fTXBBs,11:01,11:35,Emotions lecture,lecture,male,,,,
29,https://www.youtube.com/watch?v=u9FDzeoT7SU,12:23,13:11,how to read a case (law lecture),lecture,female,,,,
30,https://www.youtube.com/watch?v=jGwO_UgTS7I,00:04,00:41,Introduction about machine learning,lecture,male,,,,
31,https://youtu.be/58iD_b3ng70?si=320uhqDYHD8jl6li,00:10,01:10,How to Introduce Yourself,podcast,female,,,,
32,https://youtu.be/HCkgWRDyA0I?si=iOo8rOVEjP2NEHF5,00:10,01:10,london tour,podcast,female,,,,
33,https://youtu.be/K8jjopmFCcQ?si=cB9ODwyIONdWsQau,00:10,01:10,my day,podcast,female,,,,
34,https://youtu.be/1RmTc8Vr4Mg?si=82C3BpR7Y5YAvI3v,00:10,01:10,my best friend,podcast,female,,,,
35,https://youtu.be/3XDUDvCW444?si=RMXyq2RdLl_d-_mt,00:10,01:10,first movie,podcast,female,,,,
36,https://www.youtube.com/watch?v=lDJeOoI52S8&t=146s,00:10,01:10,a day in the lìe,podcast,female,,,,
37,https://youtu.be/EpQEHlxONS8?si=BOJ5CjwpIy9N8bjX,00:10,01:10,chiken and fox,podcast,female,,,,
38,https://youtu.be/MjEGB2Eu21I?si=edsjAbTeuU-5X7p9,00:10,01:10,the youtube challenge,podcast,female,,,,
39,https://youtu.be/78Z0d9XZ590?si=XegrWComQ2Bxajou,00:10,01:10,new home,podcast,female,,,,
40,https://youtu.be/LlCqj0CnEhQ?si=KLru8QTKPWIwpHg3,00:10,01:10,i hate war,podcast,female,,,,
41,https://youtu.be/5cgoVlZwN5Y?si=h22ttDeqyDQFsarH,00:10,01:10,dubai tour,podcast,female,,,,
42,https://youtu.be/QvZtb8ly3HE?si=ENXTE2dSB0Wuq1JC,00:10,01:10,new year's day,podcast,female,,,,
43,https://youtu.be/AqkSl4FW63Q?si=__xbGzfqreKfh5X6,00:10,01:10,language club,podcast,female,,,,
44,https://youtu.be/JXW-Nwvpm_k?si=npDE9SdWstn1X-VP,00:10,01:10,"save food, save life",podcast,female,,,,
45,https://youtu.be/X48DLzfQUi0?si=Pv-o5E8eFl69cK9v,00:10,01:10,my son is sick,podcast,female,,,,
46,https://youtu.be/VFoZ8Wwkh-k?si=kyFXrFnSL9U4HfAN,00:10,01:10,dentist,podcast,female,,,,
47,https://youtu.be/7CHTACjXZpc?si=NUNjnGDUPdb6vgXW,00:10,01:10,a day in the life ò anna,podcast,female,,,,
48,https://youtu.be/pm8XsyeTsqA?si=_k4_uIW22ZJlKmZq,00:10,01:10,going to a supermarket,podcast,female,,,,
49,https://youtu.be/TCzGbq0TexY?si=tl41A48xXxyNd9GD,00:10,01:10,going to the zoo,podcast,female,,,,
50,https://youtu.be/EylpOiAIHeA?si=7zuZVj3Oi65PdAnm,00:10,01:10,the sunflower & the storm,podcast,female,,,,
51,https://youtu.be/5QCIArjCasI?si=jiAHRzDQGpV5CFMK,00:10,01:10,anna's weekend,podcast,female,,,,
