Link,Description,Trimmed Filename
https://www.youtube.com/watch?v=sDy07cIYrdg,Sự quan trọng của tiếng Anh,sDy07cIYrdg_lecture_male_0000_0053
https://www.youtube.com/watch?v=J4RqCSD--Dg,Artificial Inteligence là gì,J4RqCSD--Dg_lecture_male_0000_0054
https://www.youtube.com/watch?v=QusJ4fpWQwA,Marketing là gì?,QusJ4fpWQwA_lecture_male_0000_0046
https://www.youtube.com/watch?v=JgvyzIkgxF0,Robotic and challenge,JgvyzIkgxF0_lecture_male_0103_0153
https://www.youtube.com/watch?v=2pWv7GOvuf0,Reinforcement Learning Short Introduction,2pWv7GOvuf0_lecture_male_0001_0055
https://www.youtube.com/watch?v=FgzM3zpZ55o,Reinforcement Learning Introduction,FgzM3zpZ55o_lecture_female_0119_0228
https://www.youtube.com/watch?v=DH1dm-zb1wQ,Fintech là gì?,DH1dm-zb1wQ_lecture_male_0004_0117
https://www.youtube.com/watch?v=mLvizyDFLQ4,Cách tạo ra biểu đồ cause-and-effect ,mLvizyDFLQ4_lecture_male_0002_0051
https://www.youtube.com/watch?v=AxZgirslL2I,A People-First Strategy for Digital Transformation,AxZgirslL2I_lecture_male_0104_0209
https://www.youtube.com/watch?v=BDqvzFY72mg,Quyền lực và Chính trị trong Thế giới Ngày nay,BDqvzFY72mg_lecture_male_0037_0143
https://www.youtube.com/watch?v=y68RJVfGoto,Language Model,y68RJVfGoto_lecture_female_0224_0323
https://www.youtube.com/watch?v=wHUS5T6uYT4,What is Social Ecology,wHUS5T6uYT4_lecture_male_0308_0335
https://www.youtube.com/watch?v=oqNOD2tF9Ec,University English: Expressions and Vocabulary,oqNOD2tF9Ec_lecture_female_0000_0102
https://www.youtube.com/watch?v=mgty3Bgu-YY,English Words for Everyday Life,mgty3Bgu-YY_lecture_female_0024_0057
https://www.youtube.com/watch?v=KHtzeslkOVU,What is mental health,KHtzeslkOVU_lecture_female_0331_0404
https://www.youtube.com/watch?v=KlVHqq38KJU,Motivation of biology,KlVHqq38KJU_lecture_female_0727_0803
https://www.youtube.com/watch?v=69dLyztc-As,The Basics of Business Education,69dLyztc-As_lecture_male_0037_0129
https://www.youtube.com/watch?v=4YY4CTSQ8nY,Theory of Iiterature,4YY4CTSQ8nY_lecture_male_0429_0530
https://www.youtube.com/watch?v=QIpoSmvsyJA,How to be unforgettable,QIpoSmvsyJA_lecture_female_0125_0156
https://www.youtube.com/watch?v=YkYeYhXUeEE,What is Chemistry Research,YkYeYhXUeEE_lecture_female_0738_0808
https://www.youtube.com/watch?v=Y9LBUf1NzU0,How To Improve Your LISTENING SKILLS,Y9LBUf1NzU0_lecture_male_0024_0115
https://www.youtube.com/watch?v=nzmFc2gjUo4,Introduction of astronomy,nzmFc2gjUo4_lecture_male_0538_0706
https://www.youtube.com/watch?v=b_lgH_ZnCmg,Lung cancer,b_lgH_ZnCmg_lecture_male_0858_0924
https://www.youtube.com/watch?v=vg01Q1BI4WM,An idea about our brain,vg01Q1BI4WM_lecture_male_0012_0101
https://www.youtube.com/watch?v=oOya3cFmAMc,Lipids (biochemistry),oOya3cFmAMc_lecture_female_0035_0121
https://www.youtube.com/watch?v=ukT8YrZ_kM8,introduction about microbology,ukT8YrZ_kM8_lecture_male_0000_0048
https://www.youtube.com/watch?v=_OkTw766oCs,What is microeconomics,_OkTw766oCs_lecture_male_0247_0323
https://www.youtube.com/watch?v=6AS48fTXBBs,Emotions lecture,6AS48fTXBBs_lecture_male_1101_1135
https://www.youtube.com/watch?v=u9FDzeoT7SU,how to read a case (law lecture),u9FDzeoT7SU_lecture_female_1223_1311
https://www.youtube.com/watch?v=jGwO_UgTS7I,Introduction about machine learning,jGwO_UgTS7I_lecture_male_0004_0041
https://youtu.be/58iD_b3ng70?si=320uhqDYHD8jl6li,How to Introduce Yourself,58iD_b3ng70_podcast_female_0010_0110
https://youtu.be/HCkgWRDyA0I?si=iOo8rOVEjP2NEHF5,london tour,HCkgWRDyA0I_podcast_female_0010_0110
https://youtu.be/K8jjopmFCcQ?si=cB9ODwyIONdWsQau,my day,K8jjopmFCcQ_podcast_female_0010_0110
https://youtu.be/1RmTc8Vr4Mg?si=82C3BpR7Y5YAvI3v,my best friend,1RmTc8Vr4Mg_podcast_female_0010_0110
https://youtu.be/3XDUDvCW444?si=RMXyq2RdLl_d-_mt,first movie,3XDUDvCW444_podcast_female_0010_0110
https://www.youtube.com/watch?v=lDJeOoI52S8&t=146s,a day in the lìe,lDJeOoI52S8_podcast_female_0010_0110
https://youtu.be/EpQEHlxONS8?si=BOJ5CjwpIy9N8bjX,chiken and fox,EpQEHlxONS8_podcast_female_0010_0110
